Q1 (a),0,1,2,3,4,5,6,7,8,9,10
0,0.0,0.58779,0.95106,0.95106,0.58779,0.0,-0.58779,-0.95106,-0.95106,-0.58779,-0.0
1,0.0,0.44561,0.72102,0.72102,0.44561,0.0,-0.44561,-0.72102,-0.72102,-0.44561,0.0
2,0.0,0.33783,0.54661,0.54661,0.33783,0.0,-0.33783,-0.54661,-0.54661,-0.33783,0.0
3,0.0,0.25611,0.4144,0.4144,0.25611,0.0,-0.25611,-0.4144,-0.4144,-0.25611,0.0
4,0.0,0.19416,0.31416,0.31416,0.19416,0.0,-0.19416,-0.31416,-0.31416,-0.19416,0.0
5,0.0,0.1472,0.23817,0.23817,0.1472,0.0,-0.1472,-0.23817,-0.23817,-0.1472,0.0
6,0.0,0.11159,0.18056,0.18056,0.11159,0.0,-0.11159,-0.18056,-0.18056,-0.11159,0.0
7,0.0,0.0846,0.13688,0.13688,0.0846,0.0,-0.0846,-0.13688,-0.13688,-0.0846,0.0
8,0.0,0.06413,0.10377,0.10377,0.06413,0.0,-0.06413,-0.10377,-0.10377,-0.06413,0.0
