Q1 (b),0,1,2,3,4
0,0.0,1.0,0.0,-1.0,-0.0
1,0.0,0.83789,0.0,-0.83789,0.0
2,0.0,0.70206,0.0,-0.70206,0.0
3,0.0,0.58825,0.0,-0.58825,0.0
4,0.0,0.49289,0.0,-0.49289,0.0
5,0.0,0.41299,0.0,-0.41299,0.0
6,0.0,0.34604,0.0,-0.34604,0.0
7,0.0,0.28994,0.0,-0.28994,0.0
8,0.0,0.24294,0.0,-0.24294,0.0
9,0.0,0.20356,0.0,-0.20356,0.0
10,0.0,0.17056,0.0,-0.17056,0.0
